RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,Taken
453,15,Brian Hoyer,LV,QB45,13,4 out of 5 stars,0
454,15,Tyler Huntley,BAL,QB46,13,3 out of 5 stars,0
455,15,Kyle Juszczyk,SF,RB121,9,4 out of 5 stars,0
456,15,Las Vegas Raiders,LV,DST32,13,3 out of 5 stars,0
457,15,Jeremy Ruckert,NYJ,TE60,7,3 out of 5 stars,0
458,15,Peyton Hendershot,DAL,TE61,7,3 out of 5 stars,0
459,15,Rex Burkhead,FA,RB122,-,-,0
460,15,Elijah Higgins,MIA,TE62,10,2 out of 5 stars,0
461,15,Jalen Guyton,LAC,WR158,5,3 out of 5 stars,0
462,15,Tre'Quan Smith,NO,WR159,11,4 out of 5 stars,0
463,15,Randy Bullock,FA,K42,-,-,0
464,15,Julius Chestnut,TEN,RB123,7,4 out of 5 stars,0
465,15,Mike Boone,HOU,RB124,7,3 out of 5 stars,0
466,15,Marquise Goodwin,CLE,WR160,5,3 out of 5 stars,0
467,15,David Moore,TB,WR161,5,4 out of 5 stars,0
468,15,Tyler Badie,DEN,RB125,9,4 out of 5 stars,0
469,15,Velus Jones Jr.,CHI,WR162,13,3 out of 5 stars,0
470,15,Tony Jones Jr.,DEN,RB126,9,4 out of 5 stars,0
471,15,Anthony McFarland Jr.,PIT,RB127,6,3 out of 5 stars,0
472,15,Sammy Watkins,FA,WR163,-,-,0
473,15,Trey Sermon,PHI,RB128,10,1 out of 5 stars,0
474,16,Brandon Bolden,LV,RB129,13,3 out of 5 stars,0
475,16,Jalen Reagor,MIN,WR164,13,3 out of 5 stars,0
476,16,Equanimeous St. Brown,CHI,WR165,13,3 out of 5 stars,0
477,16,Zach Wilson,NYJ,QB47,7,2 out of 5 stars,0
478,16,Tommy Tremble,CAR,TE63,7,3 out of 5 stars,0
479,16,Zane Gonzalez,SF,K43,9,2 out of 5 stars,0
480,16,KhaDarel Hodge,ATL,WR166,11,4 out of 5 stars,0
481,16,Shi Smith,CAR,WR167,7,4 out of 5 stars,0
482,16,Carson Wentz,FA,QB48,-,-,0
483,16,Erik Ezukanma,MIA,WR168,10,3 out of 5 stars,0
484,16,Ashton Dulin,IND,WR169,11,4 out of 5 stars,0
485,16,Jarrett Stidham,DEN,QB49,9,4 out of 5 stars,0
486,16,Elliott Fry,FA,K44,-,-,0
487,16,Davis Mills,HOU,QB50,7,3 out of 5 stars,0
488,16,Colby Parkinson,SEA,TE64,5,2 out of 5 stars,0
489,16,Andy Dalton,CAR,QB51,7,4 out of 5 stars,0
490,16,Derius Davis,LAC,WR170,5,3 out of 5 stars,0
491,16,Jonathan Ward,TEN,RB130,7,4 out of 5 stars,0
492,16,Quintez Cephus,DET,WR171,9,3 out of 5 stars,0
493,16,Marcus Mariota,PHI,QB52,10,3 out of 5 stars,0
494,16,Malik Willis,TEN,QB53,7,4 out of 5 stars,0
495,16,Travis Homer,CHI,RB131,13,5 out of 5 stars,0
496,16,John Bates,WAS,TE65,14,3 out of 5 stars,0
497,16,Mark Ingram II,FA,RB132,-,-,0
498,16,Brock Wright,DET,TE66,9,3 out of 5 stars,0
499,16,James Mitchell,DET,TE67,9,3 out of 5 stars,0
500,16,Kendall Hinton,DEN,WR172,9,2 out of 5 stars,0
501,16,Ty'Son Williams,ARI,RB133,14,3 out of 5 stars,0
502,16,Danny Gray,SF,WR173,9,3 out of 5 stars,0
503,16,Jimmy Graham,NO,TE68,11,5 out of 5 stars,0
504,16,Dare Ogunbowale,HOU,RB134,7,3 out of 5 stars,0
505,16,Damien Williams,LV,RB135,13,3 out of 5 stars,0
506,16,Patrick Ricard,BAL,RB136,13,3 out of 5 stars,0
507,16,Malik Cunningham,NE,QB54,11,2 out of 5 stars,0
508,16,Josiah Deguara,GB,TE69,6,4 out of 5 stars,0
509,16,Kendric Pryor,JAC,WR174,9,4 out of 5 stars,0
510,16,Mohamed Ibrahim,DET,RB137,9,5 out of 5 stars,0
511,16,Hendon Hooker,DET,QB55,9,4 out of 5 stars,0
512,16,Eric Saubert,MIA,TE70,10,2 out of 5 stars,0
513,16,Snoop Conner,JAC,RB138,9,2 out of 5 stars,0
514,16,Jonathan Williams,WAS,RB139,14,3 out of 5 stars,0
515,16,Alec Ingold,MIA,RB140,10,1 out of 5 stars,0
516,16,Lew Nichols III,GB,RB141,6,4 out of 5 stars,0
517,16,Charlie Kolar,BAL,TE71,13,4 out of 5 stars,0
518,16,Brandon Powell,MIN,WR175,13,3 out of 5 stars,0
519,16,Dan Arnold,PHI,TE72,10,2 out of 5 stars,0
520,16,Zack Kuntz,NYJ,TE73,7,3 out of 5 stars,0
521,16,Racey McMath,TEN,WR176,7,3 out of 5 stars,0
522,16,Cameron Latu,SF,TE74,9,3 out of 5 stars,0
523,16,Trestan Ebner,CHI,RB142,13,5 out of 5 stars,0
524,16,Trevor Siemian,CIN,QB56,7,3 out of 5 stars,0
525,16,Ronnie Rivers,LAR,RB143,10,3 out of 5 stars,0
526,16,Hunter Long,LAR,TE75,10,2 out of 5 stars,0
527,16,Josh Whyle,TEN,TE76,7,3 out of 5 stars,0
528,16,Nick Mullens,MIN,QB57,13,4 out of 5 stars,0
